PJ,Luis,Mike,Kevin,Dawn,Reina,George,Claudia
Seattle,Seattle,Arizona,Seattle,Arizona,Seattle,Seattle,Arizona
Minnesota,Pittsburgh,Pittsburgh,Minnesota,Minnesota,Minnesota,Pittsburgh,Pittsburgh
Washington,Washington,Washington,Atlanta,Atlanta,Washington,Atlanta,Washington
Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,New Orleans,Buffalo
Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit
Carolina,New England,New England,New England,New England,New England,New England,New England
Chargers,Chargers,Chargers,Chargers,Giants,Chargers,Giants,Chargers
Philadelphia,Philadelphia,Philadelphia,Tampa Bay,Philadelphia,Philadelphia,Philadelphia,Philadelphia
Tennessee,Houston,Houston,Houston,Tennessee,Houston,Houston,Houston
Indianapolis,Indianapolis,Rams,Rams,Indianapolis,Rams,Indianapolis,Rams
San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco
Baltimore,Baltimore,Baltimore,Kansas City,Kansas City,Baltimore,Kansas City,Baltimore
Chicago,Las Vegas,Chicago,Las Vegas,Chicago,Chicago,Las Vegas,Chicago
Green Bay,Green Bay,Green Bay,Dallas,Green Bay,Green Bay,Dallas,Green Bay
Jets,Miami,Jets,Miami,Jets,Miami,Jets,Jets
Denver,Denver,Denver,Denver,Denver,Denver,Cincinnati,Denver
